Security,A200.AX,IEU.AX,IJP.AX,IOO.AX,IVV.AX,MTUM.AX,MVW.AX,PortfolioValue,QHAL.AX,QLTY.AX,QUAL.AX,SMH,SMLL.AX,SPY,VAS.AX,VDHG.AX,VGE.AX,VGS.AX,VLU,VLUE.AX,VMIN.AX,VSO.AX,VVLU.AX,w
SPY,7.221866997575213e-06,3.629409201569098e-06,3.4752467997976325e-05,4.901427058878612e-06,1.7801996865306859e-06,1.647844870262833e-05,-9.575424248293176e-06,7.498566182153529e-06,-2.836145412902523e-07,7.2368451677969385e-06,1.0238782839427613e-05,0.00025826575099546523,-1.1682529521071223e-06,0.00017366728788286277,7.358099239533504e-06,3.0416651043693103e-06,1.0550359274278881e-05,4.307681217791106e-06,0.00012327521346396057,1.0486158380870125e-05,-3.900459151367435e-06,-2.0676388702578381e-07,1.2142547586277161e-05,0.0
VAS.AX,1.2508115293729083e-06,2.8734401013167235e-07,3.891512054855282e-06,1.2916425129302343e-06,1.4122339169096386e-06,1.9563663780834775e-06,6.811297149717e-07,1.1087977676496433e-06,1.0993911581765898e-06,1.4826267114480953e-06,2.2609815442222564e-06,1.2148360068000712e-05,1.0319805214769909e-07,7.358099239533505e-06,5.751745635333533e-05,1.0113296712463478e-06,4.865816796138157e-08,1.3412549731454843e-06,8.56348027248375e-06,2.0609292053951646e-06,4.0621633228874176e-07,5.400237924793699e-07,2.5144732830566224e-06,0.0
VDHG.AX,1.0185029335556678e-06,2.2468533245932997e-07,3.021276357884813e-06,1.2780755160151748e-06,1.4525715503439485e-06,1.5602943846318303e-06,9.272227549681737e-07,8.395060352663353e-07,1.2446720952399134e-06,1.343458540143248e-06,2.1198032791952866e-06,4.662788411602381e-06,-1.7346551914592112e-08,3.0416651043693107e-06,1.0113296712463478e-06,4.36830462107014e-05,-3.2719215182297914e-07,1.301558053882709e-06,4.496282822696508e-06,1.9066826940385614e-06,5.135208731126339e-07,4.719153911643394e-07,2.247160026059387e-06,0.0
VGE.AX,2.9783601267935234e-08,3.1937759150246126e-07,1.302247568425222e-06,-4.229874208452511e-07,-8.74706933962514e-07,5.022982901737066e-07,-1.398547768561762e-06,-1.4930924398609244e-08,-7.777715311264596e-07,-1.8726301341482226e-07,-4.3787731338268133e-07,1.8225207667079394e-05,2.7348803500017413e-07,1.0550359274278885e-05,4.8658167961381464e-08,-3.271921518229792e-07,6.0749427509432434e-05,-4.850008451400621e-07,9.27601909850817e-06,-1.8576448795645196e-07,-6.736741425294782e-07,-1.382740188377006e-07,-2.778708452485834e-07,0.0
VGS.AX,1.317944090782643e-06,3.999804061884527e-07,4.910180384181496e-06,1.855371917216129e-06,2.140216003459374e-06,2.1455328240288166e-06,1.2135597900059537e-06,1.2200787549570238e-06,1.5401276008704865e-06,2.0538382100164642e-06,3.298083455535843e-06,7.877801681640446e-06,-6.460942358879216e-07,4.307681217791107e-06,1.3412549731454843e-06,1.3015580538827093e-06,-4.85000845140062e-07,6.14600419554606e-05,6.9359195107284236e-06,3.1186761732848074e-06,5.47053715357769e-07,4.2033581222755844e-07,3.5269775495245582e-06,0.0
VLU,8.267280207544109e-06,4.603714995433744e-06,4.014026725551057e-05,6.225297691057217e-06,4.4883621511720465e-06,1.6543549642297507e-05,-4.846048037360619e-06,8.057329300576542e-06,7.228697929267404e-07,1.0106258965621534e-05,1.4829596302202304e-05,0.00021653681914528576,-1.5017404131126907e-06,0.00012327521346396057,8.56348027248375e-06,4.496282822696508e-06,9.276019098508171e-06,6.935919510728423e-06,0.00016503790242560946,1.5671028061353076e-05,-2.6664290457244743e-06,1.2480733596939463e-06,1.8063554440551917e-05,0.0
VLUE.AX,1.979468620714207e-06,9.832135473339255e-07,9.258787793912419e-06,2.8840857546036086e-06,3.16461414690875e-06,3.5335276680569923e-06,1.3133952388454002e-06,1.8654720418321231e-06,1.9577539540812438e-06,3.450634962196501e-06,5.495810675506474e-06,1.8284865529842184e-05,-1.3763582252720022e-06,1.0486158380870126e-05,2.060929205395165e-06,1.9066826940385618e-06,-1.857644879564518e-07,3.1186761732848082e-06,1.567102806135308e-05,6.148520804479543e-05,3.5977596666091465e-07,5.132139748801604e-07,6.093760443194098e-06,0.0
VMIN.AX,4.351102938134986e-07,-1.1616051673322712e-07,-8.885318359414595e-08,5.057315838761488e-07,7.797124290448361e-07,2.8870778246365053e-07,1.170712820696701e-06,2.3586252842398913e-07,8.942556021720546e-07,4.167619900281498e-07,6.890885941564092e-07,-8.67515749104865e-06,4.038493820312915e-07,-3.900459151367434e-06,4.0621633228874176e-07,5.135208731126339e-07,-6.736741425294783e-07,5.47053715357769e-07,-2.6664290457244734e-06,3.5977596666091444e-07,3.952302872309527e-05,4.394838155033815e-07,6.343324675788263e-07,0.0
VSO.AX,5.840781210754955e-07,2.0032718480396838e-08,5.667755062368114e-07,3.9207821182454493e-07,5.465486619017729e-07,4.874477850420209e-07,8.007980594763567e-07,3.466127760368455e-07,6.359373980775288e-07,4.44251785793971e-07,5.536100566110676e-07,-4.443877936291053e-06,9.26377751337751e-07,-2.0676388702578334e-07,5.400237924793701e-07,4.719153911643396e-07,-1.3827401883770055e-07,4.2033581222755817e-07,1.2480733596939461e-06,5.132139748801605e-07,4.394838155033817e-07,8.475154141831887e-05,7.836514713839114e-07,0.0
VVLU.AX,2.44540660332324e-06,9.489038805895724e-07,1.0178908381849287e-05,3.18512478577001e-06,3.6433397715935663e-06,4.021562649268224e-06,1.8225076029124412e-06,2.348392558409277e-06,2.235056967904046e-06,3.874952322407365e-06,6.113377851766946e-06,2.0454246487914705e-05,-1.216475593527947e-06,1.2142547586277161e-05,2.5144732830566224e-06,2.247160026059388e-06,-2.778708452485833e-07,3.5269775495245587e-06,1.8063554440551914e-05,6.093760443194098e-06,6.343324675788264e-07,7.836514713839117e-07,8.921976125093954e-05,0.0
w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
